Data Type Value Data Type Name                                Reference for Definition
0x01 	    "Flags" 	                                        Bluetooth Core Specification:Vol. 3, Part C, section 8.1.3 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.3 and 18.1 (v4.0)Core Specification Supplement, Part A, section 1.3
0x02 	    "Incomplete List of 16-bit Service Class UUIDs"     Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.1 and 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x03 	    "Complete List of 16-bit Service Class UUIDs"       Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.1 and 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x04 	    "Incomplete List of 32-bit Service Class UUIDs"     Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, section 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x05 	    "Complete List of 32-bit Service Class UUIDs"       Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, section 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x06 	    "Incomplete List of 128-bit Service Class UUIDs"    Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.1 and 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x07 	    "Complete List of 128-bit Service Class UUIDs" 	    Bluetooth Core Specification:Vol. 3, Part C, section 8.1.1 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.1 and 18.2 (v4.0)Core Specification Supplement, Part A, section 1.1
0x08 	    "Shortened Local Name" 	                            Bluetooth Core Specification:Vol. 3, Part C, section 8.1.2 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.2 and 18.4 (v4.0)Core Specification Supplement, Part A, section 1.2
0x09 	    "Complete Local Name" 	                            Bluetooth Core Specification:Vol. 3, Part C, section 8.1.2 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.2 and 18.4 (v4.0)Core Specification Supplement, Part A, section 1.2
0x0A 	    "Tx Power Level" 	                                Bluetooth Core Specification:Vol. 3, Part C, section 8.1.5 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.5 and 18.3 (v4.0)Core Specification Supplement, Part A, section 1.5
0x0D 	    "Class of Device" 	                                Bluetooth Core Specification:Vol. 3, Part C, section 8.1.6 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.5 and 18.5 (v4.0)Core Specification Supplement, Part A, section 1.6
0x0E 	    "Simple Pairing Hash C" 	                        Bluetooth Core Specification:Vol. 3, Part C, section 8.1.6 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.5 and 18.5 (v4.0)
0x0E 	    "Simple Pairing Hash C-192" 	                    Core Specification Supplement, Part A, section 1.6
0x0F 	    "Simple Pairing Randomizer R" 	                    Bluetooth Core Specification:Vol. 3, Part C, section 8.1.6 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.5 and 18.5 (v4.0)
0x0F 	    "Simple Pairing Randomizer R-192" 	                Core Specification Supplement, Part A, section 1.6
0x10 	    "Device ID" 	                                    Device ID Profile v1.3 or later
0x10 	    "Security Manager TK Value" 	                    Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.7 and 18.6 (v4.0)Core Specification Supplement, Part A, section 1.8
0x11 	    "Security Manager Out of Band Flags" 	            Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.6 and 18.7 (v4.0)Core Specification Supplement, Part A, section 1.7
0x12 	    "Slave Connection Interval Range" 	                Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.8 and 18.8 (v4.0)Core Specification Supplement, Part A, section 1.9
0x14 	    "List of 16-bit Service Solicitation UUIDs" 	    Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.9 and 18.9 (v4.0)Core Specification Supplement, Part A, section 1.10
0x15 	    "List of 128-bit Service Solicitation UUIDs" 	    Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.9 and 18.9 (v4.0)Core Specification Supplement, Part A, section 1.10
0x16 	    "Service Data" 	                                    Bluetooth Core Specification:Vol. 3, Part C, sections 11.1.10 and 18.10 (v4.0)
0x16 	    "Service Data - 16-bit UUID" 	                    Core Specification Supplement, Part A, section 1.11
0x17 	    "Public Target Address" 	                        Bluetooth Core Specification:Core Specification Supplement, Part A, section 1.13
0x18 	    "Random Target Address" 	                        Bluetooth Core Specification:Core Specification Supplement, Part A, section 1.14
0x19 	    "Appearance" 	                                    Bluetooth Core Specification:Core Specification Supplement, Part A, section 1.12
0x1A 	    "Advertising Interval" 	                            Bluetooth Core Specification:Core Specification Supplement, Part A, section 1.15
0x1B 	    "LE Bluetooth Device Address" 	                    Core Specification Supplement, Part A, section 1.16
0x1C 	    "LE Role" 	                                        Core Specification Supplement, Part A, section 1.17
0x1D 	    "Simple Pairing Hash C-256" 	                    Core Specification Supplement, Part A, section 1.6
0x1E 	    "Simple Pairing Randomizer R-256" 	                Core Specification Supplement, Part A, section 1.6
0x1F 	    "List of 32-bit Service Solicitation UUIDs" 	    Core Specification Supplement, Part A, section 1.10
0x20 	    "Service Data - 32-bit UUID" 	                    Core Specification Supplement, Part A, section 1.11
0x21 	    "Service Data - 128-bit UUID" 	                    Core Specification Supplement, Part A, section 1.11
0x22 	    "LE Secure Connections Confirmation Value" 	        Core Specification Supplement Part A, Section 1.6
0x23 	    "LE Secure Connections Random Value" 	            Core Specification Supplement Part A, Section 1.6
0x24 	    "URI" 	                                            Bluetooth Core Specification:Core Specification Supplement, Part A, section 1.18
0x25 	    "Indoor Positioning" 	                            Indoor Posiioning Service v1.0 or later
0x26 	    "Transport Discovery Data" 	                        Transport Discovery Service v1.0 or later
0x27 	    "LE Supported Features" 	                        Core Specification Supplement, Part A, Section 1.19
0x28 	    "Channel Map Update Indication" 	                Core Specification Supplement, Part A, Section 1.20
0x29 	    "PB-ADV"                                            Mesh Profile Specification Section 5.2.1
0x2A 	    "Mesh Message"                                      Mesh Profile Specification Section 3.3.1
0x2B 	    "Mesh Beacon"                                       Mesh Profile Specification Section 3.9
0x3D 	    "3D Information Data" 	                            3D Synchronization Profile, v1.0 or later
0xFF 	    "Manufacturer Specific Data" 	                    Bluetooth Core Specification:Vol. 3, Part C, section 8.1.4 (v2.1 + EDR, 3.0 + HS and 4.0)Vol. 3, Part C, sections 11.1.4 and 18.11 (v4.0)Core Specification Supplement, Part A, section 1.4
